Student 1,19970308-0000,P-54,2017,false
Student 2,19960213-0001,P-11,2016,false
Student 3,19960328-0002,P-13,2019,false
Student 4,19980905-0003,P-12,2021,false
Student 5,19970413-0004,P-52,2017,false
Student 6,19990816-0005,P-21,2021,false
Student 7,19990626-0006,P-74,2020,false
Student 8,19950304-0007,P-71,2019,false
Student 9,19991025-0008,P-33,2018,false
Student 10,19950606-0009,P-42,2019,false
Student 11,19951026-0010,P-11,2021,false
Student 12,19990305-0011,P-41,2020,false
Student 13,19970727-0012,P-52,2020,false
Student 14,19990219-0013,P-12,2017,false
Student 15,19970318-0014,P-51,2016,false
Student 16,19970109-0015,P-21,2016,false
Student 17,19950717-0016,P-42,2016,false
Student 18,19990705-0017,P-53,2019,false
Student 19,19971007-0018,P-72,2018,false
Student 20,19990124-0019,P-41,2017,false
Student 21,19990831-0020,P-61,2016,false
Student 22,19971122-0021,P-54,2021,false
Student 23,19980414-0022,P-73,2016,false
Student 24,19980609-0023,P-42,2016,false
Student 25,19980212-0024,P-42,2016,false
Student 26,19990805-0025,P-51,2017,false
Student 27,19970609-0026,P-61,2016,false
Student 28,19951123-0027,P-73,2016,false
Student 29,19960701-0028,P-21,2019,false
Student 30,19960220-0029,P-61,2016,false
Student 31,19990211-0030,P-51,2021,false
Student 32,19961018-0031,P-41,2019,false
Student 33,19960307-0032,P-34,2018,false
Student 34,19960822-0033,P-14,2021,false
Student 35,19961012-0034,P-42,2021,false
Student 36,19960610-0035,P-32,2016,false
Student 37,19990302-0036,P-61,2020,false
Student 38,19950801-0037,P-72,2018,false
Student 39,19960222-0038,P-51,2021,false
Student 40,19960828-0039,P-31,2021,false
Student 41,19960118-0040,P-12,2020,false
Student 42,19980206-0041,P-12,2016,false
Student 43,19991130-0042,P-74,2018,false
Student 44,19981023-0043,P-41,2020,false
Student 45,19950824-0044,P-33,2019,false
Student 46,19961220-0045,P-12,2020,false
Student 47,19950308-0046,P-41,2018,false
Student 48,19990824-0047,P-71,2016,false
Student 49,19970301-0048,P-34,2018,false
Student 50,19980102-0049,P-14,2021,false
Student 51,19970918-0050,P-61,2021,false
Student 52,19981214-0051,P-72,2020,false
Student 53,19970721-0052,P-41,2019,false
Student 54,19951006-0053,P-71,2017,false
Student 55,19990720-0054,P-33,2016,false
Student 56,19971008-0055,P-32,2017,false
Student 57,19980524-0056,P-72,2020,false
Student 58,19961122-0057,P-13,2019,false
Student 59,19950522-0058,P-31,2021,false
Student 60,19970711-0059,P-34,2021,false
Student 61,19950829-0060,P-21,2016,false
Student 62,19980221-0061,P-54,2019,false
Student 63,19960928-0062,P-33,2021,false
Student 64,19950319-0063,P-53,2019,false
Student 65,19970309-0064,P-01,2021,false
Student 66,19960315-0065,P-73,2019,false
Student 67,19980425-0066,P-54,2018,false
Student 68,19960924-0067,P-21,2018,false
Student 69,19951121-0068,P-14,2019,false
Student 70,19980719-0069,P-61,2020,false
Student 71,19950124-0070,P-54,2018,false
Student 72,19990301-0071,P-42,2018,false
Student 73,19990313-0072,P-51,2016,false
Student 74,19990702-0073,P-41,2016,false
Student 75,19950309-0074,P-31,2018,false
Student 76,19990711-0075,P-12,2020,false
Student 77,19961023-0076,P-33,2021,false
Student 78,19981204-0077,P-01,2019,false
Student 79,19960414-0078,P-33,2016,false
Student 80,19950404-0079,P-33,2018,false
Student 81,19950321-0080,P-42,2018,false
Student 82,19970428-0081,P-54,2021,false
Student 83,19980418-0082,P-13,2016,false
Student 84,19970820-0083,P-41,2017,false
Student 85,19950907-0084,P-21,2020,false
Student 86,19950703-0085,P-61,2016,false
Student 87,19961124-0086,P-32,2021,false
Student 88,19980805-0087,P-71,2019,false
Student 89,19970721-0088,P-61,2017,false
Student 90,19970904-0089,P-11,2016,false
Student 91,19960609-0090,P-14,2018,false
Student 92,19990918-0091,P-73,2019,false
Student 93,19980925-0092,P-74,2017,false
Student 94,19960227-0093,P-71,2021,false
Student 95,19990531-0094,P-54,2017,false
Student 96,19970408-0095,P-11,2019,false
Student 97,19990427-0096,P-33,2019,false
Student 98,19990518-0097,P-74,2019,false
Student 99,19960704-0098,P-01,2016,false
Student 100,19960621-0099,P-14,2019,false
Student 101,19980203-0100,P-74,2016,false
Student 102,19960101-0101,P-34,2019,false
Student 103,19950821-0102,P-11,2019,false
Student 104,19970806-0103,P-32,2020,false
Student 105,19960123-0104,P-61,2021,false
Student 106,19970630-0105,P-41,2020,false
Student 107,19950316-0106,P-42,2019,false
Student 108,19981226-0107,P-32,2017,false
Student 109,19960818-0108,P-54,2021,false
Student 110,19970805-0109,P-42,2016,false
Student 111,19960118-0110,P-72,2019,false
Student 112,19950511-0111,P-21,2017,false
Student 113,19990530-0112,P-73,2021,false
Student 114,19961117-0113,P-01,2020,false
Student 115,19981221-0114,P-13,2017,false
Student 116,19950924-0115,P-53,2019,false
Student 117,19970112-0116,P-72,2021,false
Student 118,19960911-0117,P-12,2019,false
Student 119,19970925-0118,P-13,2018,false
Student 120,19961108-0119,P-41,2020,false
Student 121,19960829-0120,P-54,2019,false
Student 122,19990317-0121,P-33,2021,false
Student 123,19990521-0122,P-73,2017,false
Student 124,19950709-0123,P-13,2021,false
Student 125,19950214-0124,P-74,2020,false
Student 126,19950817-0125,P-54,2018,false
Student 127,19990405-0126,P-54,2020,false
Student 128,19970422-0127,P-14,2018,false
Student 129,19950225-0128,P-33,2016,false
Student 130,19980410-0129,P-54,2016,false
Student 131,19980617-0130,P-33,2019,false
Student 132,19970117-0131,P-11,2020,false
Student 133,19950225-0132,P-12,2019,false
Student 134,19961005-0133,P-31,2016,false
Student 135,19960809-0134,P-01,2017,false
Student 136,19990713-0135,P-12,2019,false
Student 137,19990626-0136,P-74,2018,false
Student 138,19980203-0137,P-14,2016,false
Student 139,19980720-0138,P-42,2016,false
Student 140,19951130-0139,P-73,2018,false
Student 141,19950317-0140,P-13,2018,false
Student 142,19980421-0141,P-32,2016,false
Student 143,19960406-0142,P-72,2020,false
Student 144,19950604-0143,P-72,2021,false
Student 145,19971113-0144,P-71,2017,false
Student 146,19980928-0145,P-71,2021,false
Student 147,19970619-0146,P-72,2018,false
Student 148,19980920-0147,P-13,2019,false
Student 149,19950818-0148,P-61,2021,false
Student 150,19980804-0149,P-41,2019,false
Student 151,19950331-0150,P-73,2019,false
Student 152,19960607-0151,P-52,2019,false
Student 153,19961024-0152,P-72,2018,false
Student 154,19961222-0153,P-74,2017,false
Student 155,19990226-0154,P-52,2017,false
Student 156,19980329-0155,P-54,2017,false
Student 157,19990116-0156,P-74,2020,false
Student 158,19980709-0157,P-21,2018,false
Student 159,19970510-0158,P-33,2016,false
Student 160,19951130-0159,P-34,2020,false
Student 161,19960901-0160,P-12,2019,false
Student 162,19960912-0161,P-14,2018,false
Student 163,19971106-0162,P-42,2021,false
Student 164,19990518-0163,P-61,2017,false
Student 165,19960523-0164,P-34,2016,false
Student 166,19980712-0165,P-12,2021,false
Student 167,19970524-0166,P-32,2019,false
Student 168,19990307-0167,P-32,2021,false
Student 169,19960221-0168,P-54,2017,false
Student 170,19970404-0169,P-14,2021,false
Student 171,19970318-0170,P-31,2016,false
Student 172,19950925-0171,P-52,2017,false
Student 173,19950427-0172,P-73,2018,false
Student 174,19970118-0173,P-14,2020,false
Student 175,19990708-0174,P-72,2017,false
Student 176,19960216-0175,P-31,2020,false
Student 177,19950913-0176,P-52,2019,false
Student 178,19970822-0177,P-11,2021,false
Student 179,19960224-0178,P-74,2021,false
Student 180,19950831-0179,P-53,2016,false
Student 181,19961009-0180,P-71,2021,false
Student 182,19950912-0181,P-73,2016,false
Student 183,19980926-0182,P-41,2021,false
Student 184,19950707-0183,P-42,2020,false
Student 185,19980628-0184,P-41,2019,false
Student 186,19950212-0185,P-42,2016,false
Student 187,19970907-0186,P-71,2018,false
Student 188,19980219-0187,P-14,2017,false
Student 189,19970601-0188,P-41,2020,false
Student 190,19980928-0189,P-13,2018,false
Student 191,19980617-0190,P-72,2020,false
Student 192,19990709-0191,P-41,2017,false
Student 193,19990624-0192,P-52,2019,false
Student 194,19951001-0193,P-13,2016,false
Student 195,19980906-0194,P-41,2019,false
Student 196,19980824-0195,P-11,2018,false
Student 197,19970416-0196,P-33,2018,false
Student 198,19970121-0197,P-21,2021,false
Student 199,19981018-0198,P-42,2019,false
Student 200,19990323-0199,P-12,2017,false
Student 1,19891205-0000,P-12,2010,true
Student 2,19880117-0001,P-21,2010,true
Student 3,19860309-0002,P-21,2014,true
Student 4,19850305-0003,P-32,2015,true
Student 5,19860211-0004,P-42,2012,true
Student 6,19880122-0005,P-53,2014,true
Student 7,19850603-0006,P-41,2013,true
Student 8,19860222-0007,P-54,2014,true
Student 9,19860330-0008,P-12,2010,true
Student 10,19861018-0009,P-74,2012,true
Student 11,19860829-0010,P-74,2013,true
Student 12,19850527-0011,P-13,2012,true
Student 13,19891217-0012,P-51,2014,true
Student 14,19870613-0013,P-51,2010,true
Student 15,19861017-0014,P-11,2012,true
Student 16,19860125-0015,P-42,2011,true
Student 17,19871102-0016,P-14,2011,true
Student 18,19870714-0017,P-13,2012,true
Student 19,19850426-0018,P-71,2012,true
Student 20,19870816-0019,P-71,2011,true
Student 21,19880404-0020,P-74,2014,true
Student 22,19860729-0021,P-11,2010,true
Student 23,19850205-0022,P-53,2011,true
Student 24,19891130-0023,P-72,2014,true
Student 25,19860208-0024,P-73,2011,true
Student 26,19851213-0025,P-71,2014,true
Student 27,19870624-0026,P-72,2010,true
Student 28,19870406-0027,P-52,2011,true
Student 29,19870512-0028,P-52,2013,true
Student 30,19890225-0029,P-21,2010,true
Student 31,19880205-0030,P-42,2011,true
Student 32,19870215-0031,P-73,2015,true
Student 33,19890513-0032,P-21,2011,true
Student 34,19881204-0033,P-41,2014,true
Student 35,19890416-0034,P-51,2015,true
Student 36,19891011-0035,P-52,2013,true
Student 37,19890927-0036,P-51,2014,true
Student 38,19870422-0037,P-32,2013,true
Student 39,19871023-0038,P-34,2010,true
Student 40,19881020-0039,P-12,2015,true
Student 41,19881216-0040,P-14,2015,true
Student 42,19870720-0041,P-42,2015,true
Student 43,19870421-0042,P-33,2011,true
Student 44,19880818-0043,P-73,2012,true
Student 45,19870414-0044,P-11,2010,true
Student 46,19880204-0045,P-11,2014,true
Student 47,19880807-0046,P-41,2012,true
Student 48,19890219-0047,P-34,2013,true
Student 49,19870412-0048,P-12,2013,true
Student 50,19860119-0049,P-01,2014,true
Student 51,19880522-0050,P-12,2015,true
Student 52,19851109-0051,P-34,2013,true
Student 53,19890611-0052,P-31,2014,true
Student 54,19860118-0053,P-73,2010,true
Student 55,19850504-0054,P-53,2011,true
Student 56,19890302-0055,P-32,2010,true
Student 57,19870427-0056,P-73,2013,true
Student 58,19861117-0057,P-73,2014,true
Student 59,19891109-0058,P-41,2013,true
Student 60,19890705-0059,P-53,2015,true
Student 61,19891221-0060,P-33,2010,true
Student 62,19860128-0061,P-33,2014,true
Student 63,19850704-0062,P-21,2014,true
Student 64,19860412-0063,P-31,2012,true
Student 65,19870918-0064,P-42,2012,true
Student 66,19880307-0065,P-72,2015,true
Student 67,19861216-0066,P-31,2015,true
Student 68,19850124-0067,P-52,2015,true
Student 69,19880118-0068,P-51,2014,true
Student 70,19870727-0069,P-14,2013,true
Student 71,19851126-0070,P-32,2015,true
Student 72,19861011-0071,P-11,2010,true
Student 73,19850522-0072,P-01,2014,true
Student 74,19871111-0073,P-12,2010,true
Student 75,19861115-0074,P-73,2013,true
Student 76,19890303-0075,P-34,2010,true
Student 77,19890622-0076,P-21,2014,true
Student 78,19850206-0077,P-61,2014,true
Student 79,19860516-0078,P-71,2012,true
Student 80,19891104-0079,P-14,2012,true
Student 81,19870128-0080,P-21,2012,true
Student 82,19850709-0081,P-74,2011,true
Student 83,19870507-0082,P-12,2013,true
Student 84,19870308-0083,P-32,2014,true
Student 85,19851112-0084,P-53,2015,true
Student 86,19861015-0085,P-73,2013,true
Student 87,19870304-0086,P-71,2012,true
Student 88,19870901-0087,P-51,2011,true
Student 89,19870813-0088,P-42,2012,true
Student 90,19871013-0089,P-32,2013,true
Student 91,19881120-0090,P-72,2014,true
Student 92,19870209-0091,P-71,2014,true
Student 93,19870921-0092,P-51,2012,true
Student 94,19890202-0093,P-14,2014,true
Student 95,19890106-0094,P-11,2010,true
Student 96,19870418-0095,P-31,2011,true
Student 97,19870304-0096,P-11,2010,true
Student 98,19860321-0097,P-41,2015,true
